"","sub","rotation","imagename","match","imgID","block","correct","response_time"
"139",1,120,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,2,1,684
"140",1,0,"096_Auto_Oldtimer","mismatch",96,2,1,604
"141",1,120,"064_Sofa_Ledersofa","mismatch",64,2,1,922
"142",1,180,"100_Besteck_Loeffel","mismatch",100,2,1,848
"143",1,300,"041_Lampe_Schreibtischlampe","mismatch",41,2,1,882
"144",1,0,"026_Kamera_Digitalkamera","match",26,2,1,1171
"145",1,60,"031_Klavier_Pianino","mismatch",31,2,1,1108
"146",1,240,"061_Sitzbank_Baumbank","match",61,2,1,606
"147",1,0,"046_Besteck_Messer","match",46,2,1,820
"148",1,240,"053_Regal_Wandregal","match",53,2,1,696
"149",1,300,"022_Gitarre_Elektrogitarre","mismatch",22,2,1,969
"150",1,60,"074_Telefon_Smartphone","mismatch",74,2,1,957
"151",1,240,"089_Eimer_Muelleimer","mismatch",89,2,1,765
"152",1,300,"098_Auto_Van","match",98,2,1,619
"153",1,120,"029_Klavier_Fluegel","mismatch",29,2,1,645
"154",1,60,"039_Wasserkocher_modernerWasserkocher","mismatch",39,2,1,602
"155",1,300,"008_Bildschirm_Desktop","match",8,2,1,660
"156",1,240,"037_Mixer_Standmixer","mismatch",37,2,1,677
"157",1,120,"050_Nuss_Wallnuss","match",50,2,1,860
"158",1,300,"093_Boot_Kanu","match",93,2,0,513
"159",1,120,"043_Lampe_Strassenlaterne","mismatch",43,2,1,1228
"160",1,180,"012_Blume_Orchidee","match",12,2,1,765
"161",1,60,"069_Stuhl_Rollstuhl","mismatch",69,2,1,1689
"162",1,300,"011_Blume_Kaktus","match",11,2,1,792
"163",1,60,"092_Boot_Ruderboot","match",92,2,1,506
"164",1,180,"030_Klavier_Keyboard","mismatch",30,2,1,1212
"165",1,300,"020_Drucker_Multifunktionsdrucker","match",20,2,1,666
"166",1,0,"047_Nuss_Erdnuss","match",47,2,1,770
"167",1,0,"015_Blume_Tulpen","mismatch",15,2,1,558
"168",1,180,"079_Tisch_Schreibtisch","mismatch",79,2,0,1395
"169",1,60,"006_Bett_Einzelbett","match",6,2,1,1132
"170",1,180,"065_Sofa_Zweiersofa","mismatch",65,2,1,1067
"171",1,0,"028_Wasserkocher_retroWasserkocher","match",28,2,1,878
"172",1,300,"048_Nuss_Mandel","match",48,2,1,633
"173",1,0,"013_Blume_Rosen","mismatch",13,2,1,600
"174",1,120,"073_Telefon_Schnurtelefon","match",73,2,1,692
"175",1,300,"095_Boot_Kreuzfahrtschiff","mismatch",95,2,1,1447
"176",1,300,"077_Tisch_Rundtisch","mismatch",77,2,1,691
"177",1,240,"094_Boot_Segelschiff","mismatch",94,2,1,772
"178",1,240,"091_Flugzeug_Segelflieger","mismatch",91,2,1,687
"179",1,180,"007_Bett_Krankenhausbett","match",7,2,1,1092
"180",1,300,"055_Schrank_Kleiderschrank","match",55,2,1,707
"181",1,0,"057_Seife_Kernseife","match",57,2,1,2682
"182",1,180,"056_Seife_Fluessigseife","mismatch",56,2,1,1086
"183",1,60,"075_Tisch_Etagentisch","match",75,2,1,1188
"184",1,0,"088_Flugzeug_Kampfflieger","match",88,2,1,775
"185",1,300,"099_Eimer_Wassereimer","mismatch",99,2,1,767
"186",1,180,"004_Baum_Weide","mismatch",4,2,1,688
"187",1,300,"063_Sofa_Ecksofa","match",63,2,1,775
"188",1,240,"005_Bett_Doppelbett","mismatch",5,2,1,612
"189",1,120,"042_Lampe_Stehlampe","match",42,2,1,653
"190",1,120,"062_Sofa_Dreiersofa","mismatch",62,2,0,1471
"191",1,300,"082_Uhr_Wanduhr","match",82,2,1,1717
"192",1,0,"049_Nuss_Pistazie","match",49,2,1,753
"193",1,60,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,2,1,1167
"194",1,120,"060_Sitzbank_Schaukelbank","match",60,2,1,630
"195",1,60,"009_Bildschirm_Flachbildfernseher","mismatch",9,2,1,802
"196",1,180,"040_Lampe_Deckenlampe","match",40,2,1,819
"197",1,240,"066_Stuhl_Barstuhl","match",66,2,1,820
"198",1,300,"002_Baum_Palme","mismatch",2,2,1,666
