"","sub","rotation","imagename","match","imgID","block","correct","response_time","log_RT"
"3566",6,120,"030_Klavier_Keyboard","match",30,6,1,1169,7.06390396147207
"3567",6,0,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,6,1,565,6.33682573114644
"3568",6,120,"042_Lampe_Stehlampe","mismatch",42,6,1,467,6.1463292576689
"3569",6,60,"028_Wasserkocher_retroWasserkocher","match",28,6,1,515,6.24416690066374
"3570",6,0,"063_Sofa_Ecksofa","match",63,6,1,564,6.33505425149806
"3571",6,240,"072_Sessel_Ledersessel","mismatch",72,6,1,465,6.14203740558736
"3572",6,240,"048_Nuss_Mandel","match",48,6,1,466,6.14418563412565
"3573",6,120,"002_Baum_Palme","mismatch",2,6,1,692,6.53958595561767
"3575",6,60,"080_Uhr_Armbanduhr","mismatch",80,6,1,614,6.41999492814714
"3576",6,180,"070_Stuhl_Schalenstuhl","mismatch",70,6,1,760,6.63331843328038
"3577",6,180,"069_Stuhl_Rollstuhl","match",69,6,1,591,6.3818160174061
"3578",6,0,"068_Stuhl_Holzstuhl","mismatch",68,6,1,530,6.27287700654617
"3579",6,300,"034_Korb_Waeschekorb","mismatch",34,6,1,497,6.20859002609663
"3580",6,120,"086_Auto_Polizeiauto","mismatch",86,6,1,504,6.22257626807137
"3581",6,180,"082_Uhr_Wanduhr","match",82,6,1,825,6.71538338633468
"3582",6,300,"025_Glas_Weinglas","mismatch",25,6,1,495,6.20455776256869
"3583",6,300,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,6,1,598,6.39359075395063
"3584",6,180,"047_Nuss_Erdnuss","mismatch",47,6,1,461,6.13339804299665
"3585",6,180,"078_Tisch_Sofatisch","match",78,6,1,513,6.24027584517077
"3586",6,240,"100_Besteck_Loeffel","mismatch",100,6,1,505,6.22455842927536
"3587",6,120,"065_Sofa_Zweiersofa","match",65,6,1,503,6.22059017009974
"3588",6,240,"049_Nuss_Pistazie","mismatch",49,6,1,597,6.3919171133926
"3589",6,300,"007_Bett_Krankenhausbett","match",7,6,1,614,6.41999492814714
