"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time"
"215",10,"incon","noncanon",41,"041_Lampe_Schreibtischlampe",1,0,1632
"216",10,"con","noncanon",1,"001_Baum_Bonsai",0,0,1828
"217",10,"incon","canon",93,"093_Boot_Kanu",1,0,896
"218",10,"incon","canon",53,"053_Regal_Wandregal",0,1,660
"219",10,"incon","canon",107,"107_Kranz_Adventskranz",1,1,647
"220",10,"con","noncanon",91,"091_Flugzeug_Segelflieger",0,1,613
"221",10,"con","noncanon",18,"018_Computer_Tablet",1,1,2216
"222",10,"con","noncanon",94,"094_Boot_Segelschiff",0,1,1081
"223",10,"con","canon",99,"099_Eimer_Wassereimer",1,1,1179
"224",10,"con","noncanon",35,"035_Kaffeemaschine_Espressomaschine",0,1,822
"225",10,"con","noncanon",15,"015_Blume_Tulpen",1,1,1180
"226",10,"incon","noncanon",61,"061_Sitzbank_Baumbank",0,1,1762
"227",10,"con","noncanon",26,"026_Kamera_Digitalkamera",1,1,848
"228",10,"con","noncanon",57,"057_Seife_Kernseife",1,1,847
"229",10,"con","canon",36,"036_Roller",1,1,828
"230",10,"con","canon",13,"013_Blume_Rosen",1,1,571
"231",10,"incon","noncanon",114,"114_Brokkoli",1,1,1260
"232",10,"con","canon",115,"115_Kaefig_Vogelkaefig",0,1,838
"233",10,"incon","canon",120,"120_Knoblauch",1,1,657
"234",10,"incon","canon",38,"038_Toaster_2ScheibenToaster",1,1,857
"235",10,"con","canon",118,"118_Pilz_Champignon",1,1,326
"236",10,"incon","canon",43,"043_Lampe_Strassenlaterne",0,1,548
"237",10,"incon","canon",103,"103_Zahnbuerste",0,1,511
"238",10,"con","canon",105,"105_Geschenk",0,0,424
"239",10,"con","noncanon",23,"023_Glas_Sektglas",1,1,979
"240",10,"incon","noncanon",67,"067_Stuhl_Buerostuhl",1,1,705
"241",11,"con","noncanon",67,"067_Stuhl_Buerostuhl",1,0,1154
"242",11,"con","canon",53,"053_Regal_Wandregal",0,0,1101
"243",11,"incon","canon",68,"068_Stuhl_Holzstuhl",1,1,601
"244",11,"con","noncanon",100,"100_Besteck_Loeffel",1,1,642
"245",11,"con","noncanon",69,"069_Stuhl_Rollstuhl",1,1,991
"246",11,"con","noncanon",74,"074_Telefon_Smartphone",1,0,866
"247",11,"con","canon",103,"103_Zahnbuerste",0,1,770
"248",11,"con","canon",17,"017_Computer_PC",0,1,1216
"249",11,"incon","noncanon",30,"030_Wippe",0,1,1182
"250",11,"con","canon",87,"087_Auto_Panzer",0,1,1166
"251",11,"con","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,1,819
"252",11,"con","noncanon",52,"052_Regal_Metallregal",0,1,674
"253",11,"incon","noncanon",47,"047_Nuss_Erdnuss",1,0,717
"254",11,"incon","canon",75,"075_Tisch_Etagentisch",0,1,1170
"255",11,"con","canon",107,"107_Kranz_Adventskranz",1,1,805
"256",11,"incon","canon",55,"055_Schrank_Kleiderschrank",0,1,932
"257",11,"incon","canon",36,"036_Roller",1,1,640
"258",11,"incon","noncanon",26,"026_Kamera_Digitalkamera",1,1,1135
