"","sub","consistency","rotation","imgID","imagename","correct","response_time"
"3500",7,"incon","noncanon",25,"025_Glas_Weinglas",1,1861
"3501",7,"incon","canon",18,"018_Computer_Tablet",1,898
"3502",7,"incon","noncanon",80,"080_Uhr_Armbanduhr",1,756
"3503",7,"incon","noncanon",11,"011_Blume_Kaktus",1,538
"3504",7,"incon","canon",89,"089_Eimer_Muelleimer",1,1319
"3505",7,"con","noncanon",109,"109_Router",0,1086
"3506",7,"incon","canon",77,"077_Tisch_Rundtisch",1,451
"3507",7,"con","canon",57,"057_Seife_Kernseife",1,764
"3508",7,"incon","noncanon",1,"001_Baum_Bonsai",1,442
"3509",7,"con","canon",52,"052_Regal_Metallregal",1,375
"3510",7,"con","noncanon",53,"053_Regal_Wandregal",1,497
"3511",7,"incon","noncanon",95,"095_Boot_Kreuzfahrtschiff",1,505
"3512",7,"incon","noncanon",28,"028_Wasserkocher_retroWasserkocher",1,481
"3513",7,"incon","noncanon",71,"071_Stuhl_Schreibtischstuhl",1,493
"3514",7,"con","noncanon",55,"055_Schrank_Kleiderschrank",1,231
"3515",7,"incon","noncanon",47,"047_Nuss_Erdnuss",1,345
"3516",7,"incon","noncanon",70,"070_Stuhl_Schalenstuhl",1,453
"3517",7,"con","noncanon",100,"100_Besteck_Loeffel",1,347
"3518",7,"con","noncanon",5,"005_Bett_Doppelbett",1,426
"3519",7,"incon","canon",60,"060_Sitzbank_Schaukelbank",1,1060
"3520",7,"incon","noncanon",108,"108_MP3player",1,478
"3521",7,"con","canon",112,"112_Wanne_Badewanne",0,460
"3522",7,"incon","canon",94,"094_Boot_Segelschiff",1,519
"3523",7,"incon","noncanon",67,"067_Stuhl_Buerostuhl",1,394
"3524",7,"con","noncanon",62,"062_Sofa_Dreiersofa",1,434
"3525",7,"con","noncanon",99,"099_Eimer_Wassereimer",1,421
"3526",7,"con","canon",35,"035_Kaffeemaschine_Espressomaschine",1,406
"3527",7,"incon","canon",7,"007_Bett_Krankenhausbett",1,1181
"3528",7,"con","noncanon",73,"073_Telefon_Schnurtelefon",1,784
"3529",7,"con","canon",87,"087_Auto_Panzer",1,530
"3530",7,"incon","canon",97,"097_Besteck_Gabel",1,439
"3531",7,"con","canon",90,"090_Flugzeug_Zweiteweltkriegsflieger",1,355
"3532",7,"con","noncanon",24,"024_Glas_Trinkglas",1,467
"3533",7,"con","canon",65,"065_Sofa_Zweiersofa",1,394
"3534",7,"con","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,303
"3535",7,"incon","canon",106,"106_Hydrant",1,676
"3536",7,"incon","noncanon",93,"093_Boot_Kanu",0,524
"3537",7,"incon","canon",74,"074_Telefon_Smartphone",1,496
"3538",7,"incon","canon",13,"013_Blume_Rosen",1,353
"3539",7,"con","noncanon",69,"069_Stuhl_Rollstuhl",1,1023
"3540",7,"incon","noncanon",111,"111_Wagen_Einkaufswagen",1,413
"3541",7,"con","noncanon",105,"105_Geschenk",1,913
"3542",7,"con","noncanon",9,"009_Bildschirm_Flachbildfernseher",1,417
"3543",7,"con","canon",59,"059_Sitzbank_Holzbank_ohne_Lehne",1,360
"3544",7,"con","canon",81,"081_Uhr_Digitaluhr",1,653
"3545",7,"con","noncanon",92,"092_Boot_Ruderboot",1,533
"3546",7,"incon","canon",8,"008_Bildschirm_Desktop",1,490
"3547",7,"con","noncanon",14,"014_Blume_Sonnenblume",1,499
"3548",7,"con","canon",86,"086_Auto_Polizeiauto",0,497
"3549",7,"con","noncanon",78,"078_Tisch_Sofatisch",1,487
"3550",7,"con","noncanon",22,"022_Gitarre_Elektrogitarre",0,594
"3551",7,"incon","noncanon",26,"026_Kamera_Digitalkamera",1,754
"3552",7,"incon","canon",50,"050_Nuss_Wallnuss",1,365
"3553",7,"incon","canon",49,"049_Nuss_Pistazie",1,310
"3554",7,"incon","noncanon",98,"098_Auto_Van",1,487
"3555",7,"incon","noncanon",40,"040_Lampe_Deckenlampe",1,524
"3556",7,"con","canon",84,"084_Ventilator_Tischventilator",1,422
"3557",7,"con","noncanon",85,"085_Auto_Pickuptruck",0,454
"3558",7,"con","noncanon",83,"083_Ventilator_Standventilator",1,606
"3559",7,"con","canon",104,"104_Fahrradstaender",1,645
"3560",7,"con","canon",68,"068_Stuhl_Holzstuhl",1,430
"3561",7,"incon","canon",114,"114_Brokkoli",1,477
"3562",7,"con","noncanon",91,"091_Flugzeug_Segelflieger",1,392
"3563",7,"con","canon",79,"079_Tisch_Schreibtisch",1,422
"3564",7,"con","canon",19,"019_Drucker_Heimdrucker",1,381
"3565",7,"con","noncanon",15,"015_Blume_Tulpen",1,349
"3566",7,"con","noncanon",44,"044_Lampe_Tischleuchte",1,378
"3567",7,"con","noncanon",46,"046_Besteck_Messer",1,363
"3568",7,"incon","noncanon",72,"072_Sessel_Ledersessel",1,301
"3569",7,"incon","noncanon",41,"041_Lampe_Schreibtischlampe",1,411
"3570",7,"incon","noncanon",4,"004_Baum_Weide",0,477
"3571",7,"incon","canon",113,"113_Brezel",1,300
"3572",7,"con","canon",17,"017_Computer_PC",1,510
"3573",7,"incon","canon",36,"036_Roller",1,420
"3574",7,"con","canon",56,"056_Seife_Fluessigseife",1,576
"3575",7,"incon","noncanon",101,"101_Becken_Waschbecken",1,690
"3576",7,"con","noncanon",3,"003_Baum_Tanne",1,323
"3577",7,"con","canon",23,"023_Glas_Sektglas",1,346
"3578",7,"con","canon",51,"051_Regal_Holzregal",1,310
"3579",7,"incon","noncanon",120,"120_Knoblauch",1,309
"3580",7,"incon","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",1,400
"3581",7,"con","canon",96,"096_Auto_Oldtimer",1,361
"3582",7,"con","noncanon",29,"029_Klavier_Fluegel",1,420
"3583",7,"incon","noncanon",48,"048_Nuss_Mandel",1,385
"3584",7,"con","canon",119,"119_Paprika",1,296
"3585",7,"incon","canon",110,"110_Tretauto",1,281
"3586",8,"con","canon",76,"076_Tisch_Holztisch",1,918
