"","sub","consistency","rotation","imgID","imagename","correct","response_time","log_RT"
"1393",2,"con","canon",119,"119_Paprika",1,374,5.92425579741453
"1394",2,"incon","canon",109,"109_Router",1,529,6.2709884318583
"1395",2,"con","noncanon",87,"087_Auto_Panzer",1,551,6.31173480915291
"1396",2,"incon","noncanon",92,"092_Boot_Ruderboot",1,482,6.1779441140506
"1397",2,"con","noncanon",116,"116_Kamin",1,708,6.56244409369372
"1398",2,"incon","canon",29,"029_Klavier_Fluegel",1,653,6.48157712927643
"1399",2,"con","noncanon",36,"036_Roller",1,831,6.72262979485545
"1400",2,"incon","noncanon",118,"118_Pilz_Champignon",1,439,6.08449941307517
"1401",2,"con","canon",9,"009_Bildschirm_Flachbildfernseher",1,487,6.18826412308259
"1402",2,"con","noncanon",10,"010_Blume_Gaenseblume",1,409,6.0137151560428
"1403",2,"incon","canon",16,"016_Computer_Laptop",1,499,6.21260609575152
"1404",2,"incon","noncanon",1,"001_Baum_Bonsai",1,578,6.35957386867238
"1405",2,"incon","canon",47,"047_Nuss_Erdnuss",1,490,6.19440539110467
"1407",2,"incon","canon",89,"089_Eimer_Muelleimer",1,625,6.4377516497364
"1408",2,"incon","noncanon",82,"082_Schaukelpferd",1,731,6.59441345974978
"1409",2,"incon","noncanon",91,"091_Flugzeug_Segelflieger",1,788,6.66949808985788
"1410",2,"con","noncanon",110,"110_Tretauto",1,679,6.5206211275587
"1411",2,"incon","canon",45,"045_Lampe_Wandlampe",1,744,6.61204103483309
"1412",2,"con","noncanon",99,"099_Eimer_Wassereimer",1,785,6.66568371778241
"1414",2,"con","canon",71,"071_Stuhl_Schreibtischstuhl",1,1703,7.44014668066269
"1415",2,"con","canon",108,"108_MP3player",1,674,6.51323011091231
"1416",2,"con","noncanon",96,"096_Auto_Oldtimer",1,475,6.16331480403464
"1417",2,"con","canon",106,"106_Hydrant",1,439,6.08449941307517
"1418",2,"incon","canon",52,"052_Regal_Metallregal",1,719,6.57786135772105
"1419",2,"con","noncanon",90,"090_Flugzeug_Zweiteweltkriegsflieger",1,529,6.2709884318583
"1420",2,"incon","canon",35,"035_Kaffeemaschine_Espressomaschine",1,605,6.40522845803084
"1421",2,"con","canon",81,"081_Uhr_Digitaluhr",1,685,6.52941883826223
"1423",2,"con","noncanon",5,"005_Bett_Doppelbett",1,829,6.7202201551353
"1424",2,"con","noncanon",23,"023_Glas_Sektglas",1,674,6.51323011091231
"1425",2,"con","canon",77,"077_Tisch_Rundtisch",1,549,6.30809844150953
"1426",2,"con","canon",63,"063_Sofa_Ecksofa",1,443,6.09356977004514
"1427",2,"incon","noncanon",21,"021_Gitarre_Akustikgitarre",1,636,6.45519856334012
"1428",2,"incon","noncanon",48,"048_Nuss_Mandel",1,499,6.21260609575152
"1429",2,"incon","noncanon",102,"102_Bett_Kinderbett",1,536,6.2841341610708
"1430",2,"incon","canon",104,"104_Fahrradstaender",1,826,6.71659477352098
"1431",2,"con","noncanon",86,"086_Auto_Polizeiauto",1,913,6.81673588059497
"1433",2,"incon","canon",72,"072_Sessel_Ledersessel",1,540,6.29156913955832
"1434",2,"con","noncanon",66,"066_Stuhl_Barstuhl",1,1056,6.96224346426621
"1435",20,"incon","noncanon",13,"013_Blume_Rosen",1,1340,7.20042489294496
