"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time","log_RT"
"2165",26,"incon","canon",31,"031_Muelltonne",0,1,1347,7.20563517641036
"2166",26,"con","canon",2,"002_Baum_Palme",0,1,869,6.76734312526539
"2167",26,"incon","canon",47,"047_Nuss_Erdnuss",1,1,833,6.72503364216684
"2168",26,"con","noncanon",71,"071_Stuhl_Schreibtischstuhl",1,1,873,6.7719355558396
"2169",26,"con","canon",115,"115_Kaefig_Vogelkaefig",0,1,1638,7.40123126441302
"2170",26,"incon","noncanon",85,"085_Auto_Pickuptruck",0,1,670,6.50727771238501
"2172",26,"con","noncanon",65,"065_Sofa_Zweiersofa",0,1,872,6.77078942390898
"2173",26,"con","canon",111,"111_Wagen_Einkaufswagen",1,1,1000,6.90775527898214
"2174",26,"incon","noncanon",25,"025_Glas_Weinglas",1,1,2101,7.650168700845
"2175",26,"incon","noncanon",20,"020_Drucker_Multifunktionsdrucker",0,1,1004,6.91174730025167
"2176",26,"con","noncanon",23,"023_Glas_Sektglas",1,1,661,6.49375383985169
"2177",26,"incon","noncanon",41,"041_Lampe_Schreibtischlampe",1,1,894,6.79570577517351
"2178",26,"incon","canon",73,"073_Telefon_Schnurtelefon",1,1,768,6.64378973314767
"2179",26,"con","canon",82,"082_Schaukelpferd",1,1,505,6.22455842927536
"2180",26,"incon","canon",16,"016_Computer_Laptop",1,1,576,6.35610766069589
"2181",26,"incon","noncanon",67,"067_Stuhl_Buerostuhl",1,1,723,6.58340922215876
"2182",26,"incon","canon",116,"116_Kamin",0,1,1137,7.03614849375054
"2183",26,"con","noncanon",9,"009_Bildschirm_Flachbildfernseher",0,1,1639,7.40184157874383
"2184",26,"incon","canon",90,"090_Flugzeug_Zweiteweltkriegsflieger",0,1,622,6.43294009273918
"2185",26,"incon","noncanon",91,"091_Flugzeug_Segelflieger",0,1,658,6.48920493132532
"2186",26,"con","noncanon",83,"083_Ventilator_Standventilator",0,1,942,6.84800527457636
"2187",26,"incon","canon",113,"113_Brezel",1,1,565,6.33682573114644
"2188",26,"incon","noncanon",22,"022_Gitarre_Elektrogitarre",1,1,1167,7.06219163228656
"2189",26,"con","noncanon",106,"106_Hydrant",1,1,475,6.16331480403464
"2190",26,"con","canon",78,"078_Tisch_Sofatisch",0,1,545,6.30078579466324
"2191",26,"con","canon",10,"010_Blume_Gaenseblume",1,1,575,6.35437004079735
"2192",26,"incon","noncanon",24,"024_Glas_Trinkglas",1,1,902,6.80461452006262
"2193",26,"con","noncanon",6,"006_Bett_Einzelbett",0,1,1076,6.98100574072173
"2194",26,"incon","noncanon",104,"104_Fahrradstaender",1,1,778,6.65672652417839
"2195",26,"con","canon",97,"097_Besteck_Gabel",1,1,795,6.67834211465433
"2196",26,"con","canon",72,"072_Sessel_Ledersessel",0,1,728,6.59030104819669
"2197",26,"incon","canon",17,"017_Computer_PC",0,1,892,6.79346613258001
"2198",26,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,455,6.12029741895095
"2199",26,"con","noncanon",51,"051_Regal_Holzregal",0,1,791,6.67329796776765
"2200",26,"con","noncanon",28,"028_Wasserkocher_retroWasserkocher",1,1,1314,7.18083119904456
"2201",26,"con","noncanon",45,"045_Lampe_Wandlampe",0,1,972,6.87935580446044
"2203",26,"incon","canon",26,"026_Kamera_Digitalkamera",1,1,494,6.20253551718792
"2204",26,"con","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,1,504,6.22257626807137
"2206",26,"incon","canon",13,"013_Blume_Rosen",1,1,441,6.08904487544685
"2207",26,"con","noncanon",120,"120_Knoblauch",1,1,486,6.18620862390049
"2208",26,"incon","canon",62,"062_Sofa_Dreiersofa",0,1,588,6.37672694789863
"2209",26,"con","canon",88,"088_Flugzeug_Kampfflieger",0,1,481,6.17586727010576
"2210",26,"incon","noncanon",87,"087_Auto_Panzer",0,1,757,6.62936325343745
"2211",26,"incon","canon",21,"021_Gitarre_Akustikgitarre",1,1,475,6.16331480403464
"2212",26,"con","noncanon",102,"102_Bett_Kinderbett",1,1,482,6.1779441140506
"2213",26,"con","canon",64,"064_Sofa_Ledersofa",0,1,468,6.14846829591765
"2214",26,"con","canon",94,"094_Boot_Segelschiff",0,1,423,6.04737217904628
"2215",26,"con","canon",107,"107_Kranz_Adventskranz",1,1,774,6.65157187358973
"2216",26,"incon","noncanon",70,"070_Stuhl_Schalenstuhl",1,1,520,6.25382881157547
"2217",26,"incon","canon",92,"092_Boot_Ruderboot",1,1,623,6.43454651878745
"2218",26,"con","noncanon",34,"034_Korb_Waeschekorb",1,1,625,6.4377516497364
"2219",26,"incon","canon",4,"004_Baum_Weide",0,1,616,6.42324696353352
"2220",26,"con","noncanon",100,"100_Besteck_Loeffel",1,1,450,6.10924758276437
"2221",26,"incon","noncanon",5,"005_Bett_Doppelbett",0,1,770,6.64639051484773
"2222",26,"incon","noncanon",119,"119_Paprika",1,1,554,6.31716468674728
"2223",26,"con","noncanon",84,"084_Ventilator_Tischventilator",1,1,728,6.59030104819669
"2224",26,"incon","canon",61,"061_Sitzbank_Baumbank",0,1,808,6.69456205852109
"2225",26,"incon","noncanon",117,"117_Muffin",1,1,780,6.65929391968364
"2226",26,"con","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,1,416,6.03068526026126
"2227",26,"incon","noncanon",48,"048_Nuss_Mandel",1,1,566,6.33859407820318
"2228",26,"con","noncanon",59,"059_Sitzbank_Holzbank_ohne_Lehne",0,1,585,6.37161184723186
"2229",26,"con","noncanon",77,"077_Tisch_Rundtisch",0,1,619,6.4281052726846
"2230",26,"con","canon",105,"105_Geschenk",0,1,415,6.0282785202307
"2231",26,"incon","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",0,1,1806,7.49886973397693
"2232",26,"con","canon",53,"053_Regal_Wandregal",0,1,561,6.3297209055227
"2233",26,"con","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,405,6.00388706710654
"2234",26,"con","canon",44,"044_Lampe_Tischleuchte",1,1,489,6.19236248947487
"2235",26,"con","noncanon",109,"109_Router",1,1,1157,7.05358572719368
"2236",26,"incon","noncanon",3,"003_Baum_Tanne",0,1,595,6.38856140554563
"2237",26,"con","canon",55,"055_Schrank_Kleiderschrank",0,1,691,6.53813982376767
"2238",26,"incon","noncanon",114,"114_Brokkoli",1,1,1056,6.96224346426621
"2239",26,"incon","noncanon",80,"080_Uhr_Armbanduhr",1,1,941,6.84694313958538
"2240",26,"con","canon",63,"063_Sofa_Ecksofa",0,1,1010,6.9177056098353
"2241",26,"incon","canon",1,"001_Baum_Bonsai",0,1,451,6.11146733950268
"2242",26,"con","canon",52,"052_Regal_Metallregal",0,1,685,6.52941883826223
"2244",26,"con","noncanon",69,"069_Stuhl_Rollstuhl",1,1,1101,7.00397413672268
"2245",26,"incon","canon",76,"076_Tisch_Holztisch",0,1,1295,7.16626597413364
"2246",26,"incon","canon",14,"014_Blume_Sonnenblume",1,1,508,6.23048144757848
"2247",26,"incon","canon",19,"019_Drucker_Heimdrucker",0,1,1262,7.14045304310116
"2248",26,"incon","canon",46,"046_Besteck_Messer",1,1,388,5.96100533962327
"2250",26,"con","canon",40,"040_Lampe_Deckenlampe",0,1,561,6.3297209055227
"2251",26,"incon","canon",66,"066_Stuhl_Barstuhl",1,1,562,6.33150184989369
"2252",26,"incon","canon",38,"038_Toaster_2ScheibenToaster",1,1,1507,7.3178761986265
"2253",26,"con","noncanon",7,"007_Bett_Krankenhausbett",0,1,702,6.55393340402581
"2254",26,"con","noncanon",95,"095_Boot_Kreuzfahrtschiff",0,1,494,6.20253551718792
"2255",26,"con","noncanon",96,"096_Auto_Oldtimer",0,1,546,6.30261897574491
"2256",26,"con","canon",79,"079_Tisch_Schreibtisch",0,1,499,6.21260609575152
"2257",26,"con","canon",11,"011_Blume_Kaktus",0,1,786,6.66695679242921
"2258",26,"con","canon",43,"043_Lampe_Strassenlaterne",0,1,807,6.69332366826995
"2259",26,"con","canon",15,"015_Blume_Tulpen",1,1,396,5.98141421125448
"2260",26,"con","canon",99,"099_Eimer_Wassereimer",1,1,465,6.14203740558736
"2261",26,"incon","canon",42,"042_Lampe_Stehlampe",0,1,399,5.98896141688986
"2262",26,"incon","noncanon",35,"035_Kaffeemaschine_Espressomaschine",0,1,621,6.43133108193348
"2263",26,"con","canon",101,"101_Becken_Waschbecken",0,1,524,6.26149168432104
"2264",26,"incon","canon",93,"093_Boot_Kanu",1,1,531,6.27476202124194
"2265",26,"con","noncanon",98,"098_Auto_Van",0,1,398,5.98645200528444
"2266",26,"incon","canon",68,"068_Stuhl_Holzstuhl",1,1,334,5.8111409929767
"2267",26,"con","canon",118,"118_Pilz_Champignon",1,1,369,5.91079664404053
"2268",26,"incon","canon",86,"086_Auto_Polizeiauto",0,1,322,5.77455154554441
"2269",26,"incon","canon",75,"075_Tisch_Etagentisch",0,1,337,5.82008293035236
"2270",26,"incon","canon",54,"054_Schrank_Bueroschrank",0,1,580,6.36302810354046
"2271",26,"incon","noncanon",8,"008_Bildschirm_Desktop",0,1,523,6.25958146406492
"2272",26,"con","canon",37,"037_Mixer_Standmixer",1,1,354,5.86929691313377
"2274",26,"incon","noncanon",112,"112_Wanne_Badewanne",0,1,397,5.98393628068719
"2275",26,"con","noncanon",50,"050_Nuss_Wallnuss",1,1,500,6.21460809842219
"2276",26,"incon","noncanon",29,"029_Klavier_Fluegel",0,1,597,6.3919171133926
"2277",26,"incon","noncanon",103,"103_Zahnbuerste",0,1,327,5.78996017089725
"2278",26,"con","canon",12,"012_Blume_Orchidee",1,1,346,5.84643877505772
"2279",26,"con","canon",49,"049_Nuss_Pistazie",1,1,343,5.83773044716594
"2282",27,"con","noncanon",104,"104_Fahrradstaender",1,1,550,6.30991827822652
"2284",27,"con","noncanon",74,"074_Telefon_Smartphone",1,1,814,6.70196036600254
"2285",27,"con","noncanon",70,"070_Stuhl_Schalenstuhl",1,1,955,6.86171134048073
"2286",27,"con","canon",47,"047_Nuss_Erdnuss",1,1,531,6.27476202124194
"2287",27,"con","canon",113,"113_Brezel",1,1,363,5.89440283426485
"2288",27,"con","canon",19,"019_Drucker_Heimdrucker",0,1,573,6.35088571671474
"2289",27,"incon","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,1,381,5.9427993751267
"2290",27,"incon","noncanon",110,"110_Tretauto",1,1,473,6.15909538849193
