"","sub","rotation","imagename","match","imgID","block","correct","response_time","log_RT"
"139",1,120,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,2,1,684,6.52795791762255
"140",1,0,"096_Auto_Oldtimer","mismatch",96,2,1,604,6.40357419793482
"141",1,120,"064_Sofa_Ledersofa","mismatch",64,2,1,922,6.82654522355659
"142",1,180,"100_Besteck_Loeffel","mismatch",100,2,1,848,6.7428806357919
"143",1,300,"041_Lampe_Schreibtischlampe","mismatch",41,2,1,882,6.78219205600679
"144",1,0,"026_Kamera_Digitalkamera","match",26,2,1,1171,7.06561336359772
"145",1,60,"031_Klavier_Pianino","mismatch",31,2,1,1108,7.01031186730723
"146",1,240,"061_Sitzbank_Baumbank","match",61,2,1,606,6.40687998606931
"147",1,0,"046_Besteck_Messer","match",46,2,1,820,6.7093043402583
"148",1,240,"053_Regal_Wandregal","match",53,2,1,696,6.54534966033442
"149",1,300,"022_Gitarre_Elektrogitarre","mismatch",22,2,1,969,6.87626461189077
"150",1,60,"074_Telefon_Smartphone","mismatch",74,2,1,957,6.86380339145295
"151",1,240,"089_Eimer_Muelleimer","mismatch",89,2,1,765,6.63987583382654
"152",1,300,"098_Auto_Van","match",98,2,1,619,6.4281052726846
"153",1,120,"029_Klavier_Fluegel","mismatch",29,2,1,645,6.46925031679577
"154",1,60,"039_Wasserkocher_modernerWasserkocher","mismatch",39,2,1,602,6.40025744530882
"155",1,300,"008_Bildschirm_Desktop","match",8,2,1,660,6.49223983502047
"156",1,240,"037_Mixer_Standmixer","mismatch",37,2,1,677,6.51767127291227
"157",1,120,"050_Nuss_Wallnuss","match",50,2,1,860,6.75693238924755
"159",1,120,"043_Lampe_Strassenlaterne","mismatch",43,2,1,1228,7.11314210870709
"160",1,180,"012_Blume_Orchidee","match",12,2,1,765,6.63987583382654
"161",1,60,"069_Stuhl_Rollstuhl","mismatch",69,2,1,1689,7.4318919168078
"162",1,300,"011_Blume_Kaktus","match",11,2,1,792,6.67456139181443
"163",1,60,"092_Boot_Ruderboot","match",92,2,1,506,6.22653666928747
"164",1,180,"030_Klavier_Keyboard","mismatch",30,2,1,1212,7.10002716662926
"165",1,300,"020_Drucker_Multifunktionsdrucker","match",20,2,1,666,6.50128967054039
"166",1,0,"047_Nuss_Erdnuss","match",47,2,1,770,6.64639051484773
"167",1,0,"015_Blume_Tulpen","mismatch",15,2,1,558,6.32435896238131
"169",1,60,"006_Bett_Einzelbett","match",6,2,1,1132,7.03174125876313
"170",1,180,"065_Sofa_Zweiersofa","mismatch",65,2,1,1067,6.97260625130175
"171",1,0,"028_Wasserkocher_retroWasserkocher","match",28,2,1,878,6.77764659363512
"172",1,300,"048_Nuss_Mandel","match",48,2,1,633,6.45047042214418
"173",1,0,"013_Blume_Rosen","mismatch",13,2,1,600,6.39692965521615
"174",1,120,"073_Telefon_Schnurtelefon","match",73,2,1,692,6.53958595561767
"175",1,300,"095_Boot_Kreuzfahrtschiff","mismatch",95,2,1,1447,7.27724772663148
"176",1,300,"077_Tisch_Rundtisch","mismatch",77,2,1,691,6.53813982376767
"177",1,240,"094_Boot_Segelschiff","mismatch",94,2,1,772,6.64898455002478
"178",1,240,"091_Flugzeug_Segelflieger","mismatch",91,2,1,687,6.53233429222235
"179",1,180,"007_Bett_Krankenhausbett","match",7,2,1,1092,6.99576615630485
"180",1,300,"055_Schrank_Kleiderschrank","match",55,2,1,707,6.56103066589657
"181",1,0,"057_Seife_Kernseife","match",57,2,1,2682,7.89431806384162
"182",1,180,"056_Seife_Fluessigseife","mismatch",56,2,1,1086,6.99025650049388
"183",1,60,"075_Tisch_Etagentisch","match",75,2,1,1188,7.08002649992259
"184",1,0,"088_Flugzeug_Kampfflieger","match",88,2,1,775,6.65286302935335
"185",1,300,"099_Eimer_Wassereimer","mismatch",99,2,1,767,6.64248680136726
"186",1,180,"004_Baum_Weide","mismatch",4,2,1,688,6.53378883793334
"187",1,300,"063_Sofa_Ecksofa","match",63,2,1,775,6.65286302935335
"188",1,240,"005_Bett_Doppelbett","mismatch",5,2,1,612,6.41673228251233
"189",1,120,"042_Lampe_Stehlampe","match",42,2,1,653,6.48157712927643
"191",1,300,"082_Uhr_Wanduhr","match",82,2,1,1717,7.44833386089748
"192",1,0,"049_Nuss_Pistazie","match",49,2,1,753,6.62406522779989
"193",1,60,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,2,1,1167,7.06219163228656
"194",1,120,"060_Sitzbank_Schaukelbank","match",60,2,1,630,6.44571981938558
"195",1,60,"009_Bildschirm_Flachbildfernseher","mismatch",9,2,1,802,6.68710860786651
"196",1,180,"040_Lampe_Deckenlampe","match",40,2,1,819,6.70808408385307
"197",1,240,"066_Stuhl_Barstuhl","match",66,2,1,820,6.7093043402583
"198",1,300,"002_Baum_Palme","mismatch",2,2,1,666,6.50128967054039
"199",1,60,"054_Schrank_Bueroschrank","match",54,2,1,911,6.81454289725996
"200",1,0,"044_Lampe_Tischleuchte","mismatch",44,2,1,860,6.75693238924755
"201",1,0,"098_Auto_Van","match",98,3,1,420,6.04025471127741
"202",1,120,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,3,1,550,6.30991827822652
"203",1,60,"015_Blume_Tulpen","match",15,3,1,470,6.1527326947041
"204",1,60,"035_Kaffeemaschine_Espressomaschine","match",35,3,1,721,6.58063913728495
"205",1,60,"079_Tisch_Schreibtisch","mismatch",79,3,1,854,6.74993119378857
"206",1,240,"032_Kopfhoerer_Earbudohrhoerer","match",32,3,1,684,6.52795791762255
"208",1,300,"078_Tisch_Sofatisch","match",78,3,1,995,6.90274273715859
"209",1,120,"059_Sitzbank_Holzbank_ohne_Lehne","mismatch",59,3,1,1403,7.24636808010246
"210",1,0,"076_Tisch_Holztisch","match",76,3,1,560,6.32793678372919
"211",1,120,"027_Kamera_Spiegelreflexkamera","mismatch",27,3,1,920,6.82437367004309
"212",1,180,"077_Tisch_Rundtisch","mismatch",77,3,1,751,6.62140565176413
"213",1,60,"049_Nuss_Pistazie","match",49,3,1,791,6.67329796776765
"215",1,120,"018_Computer_Tablet","mismatch",18,3,1,980,6.88755257166462
"216",1,60,"057_Seife_Kernseife","match",57,3,1,725,6.58617165485467
"217",1,300,"025_Glas_Weinglas","mismatch",25,3,1,543,6.29710931993394
"218",1,180,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,3,1,566,6.33859407820318
"219",1,180,"038_Toaster_2ScheibenToaster","match",38,3,1,1191,7.0825485693553
"220",1,300,"070_Stuhl_Schalenstuhl","mismatch",70,3,1,663,6.49677499018586
"221",1,60,"012_Blume_Orchidee","mismatch",12,3,1,691,6.53813982376767
"222",1,60,"048_Nuss_Mandel","mismatch",48,3,1,568,6.34212141872115
"223",1,240,"064_Sofa_Ledersofa","mismatch",64,3,1,2028,7.61480536471107
"224",1,300,"017_Computer_PC","mismatch",17,3,1,1086,6.99025650049388
"225",1,120,"100_Besteck_Loeffel","match",100,3,1,582,6.36647044773144
"226",1,120,"067_Stuhl_Buerostuhl","match",67,3,1,613,6.41836493593621
"227",1,60,"045_Lampe_Wandlampe","mismatch",45,3,1,622,6.43294009273918
"228",1,60,"086_Auto_Polizeiauto","mismatch",86,3,1,833,6.72503364216684
"229",1,180,"050_Nuss_Wallnuss","match",50,3,1,504,6.22257626807137
"230",1,60,"010_Blume_Gaenseblume","mismatch",10,3,1,638,6.45833828334479
"231",1,120,"085_Auto_Pickuptruck","match",85,3,1,1259,7.13807303404435
"232",1,0,"089_Eimer_Muelleimer","match",89,3,1,609,6.4118182677099
"233",1,60,"008_Bildschirm_Desktop","match",8,3,1,699,6.54965074223381
"234",1,180,"044_Lampe_Tischleuchte","mismatch",44,3,1,573,6.35088571671474
"235",1,300,"062_Sofa_Dreiersofa","match",62,3,1,715,6.57228254269401
"236",1,300,"084_Ventilator_Tischventilator","mismatch",84,3,1,599,6.39526159811545
"237",1,60,"087_Auto_Panzer","mismatch",87,3,1,850,6.74523634948436
"238",1,120,"051_Regal_Holzregal","match",51,3,1,691,6.53813982376767
"239",1,300,"091_Flugzeug_Segelflieger","mismatch",91,3,1,493,6.20050917404269
"240",1,60,"037_Mixer_Standmixer","mismatch",37,3,1,692,6.53958595561767
"242",1,300,"053_Regal_Wandregal","mismatch",53,3,1,1725,7.45298232946546
"243",1,120,"004_Baum_Weide","mismatch",4,3,1,890,6.79122146272619
"244",1,120,"005_Bett_Doppelbett","match",5,3,1,1281,7.15539630189673
"245",1,240,"060_Sitzbank_Schaukelbank","mismatch",60,3,1,658,6.48920493132532
"246",1,240,"034_Korb_Waeschekorb","mismatch",34,3,1,693,6.5410299991899
"247",1,0,"094_Boot_Segelschiff","mismatch",94,3,1,607,6.4085287910595
"248",1,120,"081_Uhr_Digitaluhr","match",81,3,1,1193,7.08422642209792
"249",1,60,"052_Regal_Metallregal","match",52,3,1,845,6.73933662735717
"250",1,0,"080_Uhr_Armbanduhr","match",80,3,1,597,6.3919171133926
"251",1,300,"096_Auto_Oldtimer","match",96,3,1,665,6.49978704065585
"252",1,120,"063_Sofa_Ecksofa","match",63,3,1,1062,6.96790920180188
"253",1,120,"097_Besteck_Gabel","match",97,3,1,616,6.42324696353352
"254",1,0,"041_Lampe_Schreibtischlampe","match",41,3,1,650,6.47697236288968
"255",1,0,"030_Klavier_Keyboard","match",30,3,1,1771,7.47929963778283
"256",1,0,"072_Sessel_Ledersessel","mismatch",72,3,1,653,6.48157712927643
"258",1,180,"061_Sitzbank_Baumbank","match",61,3,1,824,6.71417052990947
"259",1,120,"047_Nuss_Erdnuss","match",47,3,1,708,6.56244409369372
"260",1,120,"099_Eimer_Wassereimer","mismatch",99,3,1,693,6.5410299991899
"261",1,60,"023_Glas_Sektglas","mismatch",23,3,1,719,6.57786135772105
"262",1,60,"095_Boot_Kreuzfahrtschiff","mismatch",95,3,1,1484,7.30249642372733
"263",1,180,"088_Flugzeug_Kampfflieger","match",88,3,1,1001,6.90875477931522
"264",1,0,"093_Boot_Kanu","mismatch",93,3,1,733,6.59714570188665
"265",1,180,"069_Stuhl_Rollstuhl","mismatch",69,3,1,532,6.27664348934164
"266",1,60,"046_Besteck_Messer","mismatch",46,3,1,1123,7.02375895473844
"267",1,240,"006_Bett_Einzelbett","mismatch",6,3,1,644,6.46769872610435
"268",1,0,"009_Bildschirm_Flachbildfernseher","mismatch",9,3,1,1230,7.11476944836646
"269",1,0,"082_Uhr_Wanduhr","mismatch",82,3,1,608,6.41017488196617
"270",1,180,"024_Glas_Trinkglas","mismatch",24,3,1,598,6.39359075395063
"271",1,240,"001_Baum_Bonsai","match",1,3,1,707,6.56103066589657
"272",1,240,"054_Schrank_Bueroschrank","mismatch",54,3,1,1024,6.93147180559945
"273",1,0,"068_Stuhl_Holzstuhl","match",68,3,1,1128,7.028201432058
"274",1,120,"016_Computer_Laptop","mismatch",16,3,1,530,6.27287700654617
"275",1,240,"013_Blume_Rosen","match",13,3,1,886,6.78671695060508
"276",1,300,"042_Lampe_Stehlampe","mismatch",42,3,1,690,6.5366915975913
"277",1,60,"065_Sofa_Zweiersofa","match",65,3,1,576,6.35610766069589
"278",1,240,"014_Blume_Sonnenblume","mismatch",14,3,1,865,6.76272950693188
"279",1,240,"026_Kamera_Digitalkamera","mismatch",26,3,1,834,6.72623340235875
"281",1,0,"073_Telefon_Schnurtelefon","mismatch",73,3,1,686,6.53087762772588
"282",1,300,"019_Drucker_Heimdrucker","match",19,3,1,836,6.7286286130847
"284",1,180,"029_Klavier_Fluegel","match",29,3,1,1325,7.18916773842032
"286",1,120,"031_Klavier_Pianino","mismatch",31,3,1,651,6.47850964220857
"287",1,60,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,3,1,945,6.85118492749374
"288",1,0,"083_Ventilator_Standventilator","mismatch",83,3,1,565,6.33682573114644
"289",1,0,"092_Boot_Ruderboot","mismatch",92,3,1,885,6.78558764500793
"290",1,120,"055_Schrank_Kleiderschrank","mismatch",55,3,1,926,6.83087423464618
"291",1,240,"040_Lampe_Deckenlampe","mismatch",40,3,1,786,6.66695679242921
"292",1,180,"021_Gitarre_Akustikgitarre","match",21,3,1,801,6.68586094706836
"293",1,180,"011_Blume_Kaktus","mismatch",11,3,1,702,6.55393340402581
"294",1,180,"039_Wasserkocher_modernerWasserkocher","mismatch",39,3,1,905,6.80793494369993
"295",1,180,"028_Wasserkocher_retroWasserkocher","mismatch",28,3,1,624,6.43615036836943
"296",1,240,"002_Baum_Palme","match",2,3,1,490,6.19440539110467
"297",1,300,"074_Telefon_Smartphone","match",74,3,1,801,6.68586094706836
"298",1,180,"066_Stuhl_Barstuhl","match",66,3,1,752,6.62273632394984
"299",1,180,"043_Lampe_Strassenlaterne","mismatch",43,3,1,851,6.74641212857337
"300",1,180,"075_Tisch_Etagentisch","mismatch",75,3,1,1103,7.0057890192535
"301",1,180,"062_Sofa_Dreiersofa","mismatch",62,4,1,1229,7.11395610956603
"302",1,0,"091_Flugzeug_Segelflieger","match",91,4,1,585,6.37161184723186
"303",1,180,"063_Sofa_Ecksofa","mismatch",63,4,1,960,6.86693328446188
"304",1,240,"049_Nuss_Pistazie","mismatch",49,4,1,832,6.72383244082121
"305",1,0,"020_Drucker_Multifunktionsdrucker","match",20,4,1,761,6.63463335786169
"306",1,120,"075_Tisch_Etagentisch","mismatch",75,4,1,683,6.52649485957079
"307",1,240,"074_Telefon_Smartphone","match",74,4,1,699,6.54965074223381
"308",1,240,"022_Gitarre_Elektrogitarre","mismatch",22,4,1,1021,6.92853781816467
"309",1,0,"023_Glas_Sektglas","mismatch",23,4,1,643,6.46614472423762
"310",1,180,"010_Blume_Gaenseblume","match",10,4,1,587,6.3750248198281
"311",1,0,"066_Stuhl_Barstuhl","mismatch",66,4,1,748,6.61740297797448
"312",1,60,"097_Besteck_Gabel","mismatch",97,4,1,793,6.67582322163485
"313",1,60,"064_Sofa_Ledersofa","match",64,4,1,1070,6.97541392745595
"314",1,300,"047_Nuss_Erdnuss","mismatch",47,4,1,596,6.39024066706535
"315",1,0,"048_Nuss_Mandel","match",48,4,1,574,6.35262939631957
"316",1,300,"052_Regal_Metallregal","mismatch",52,4,1,1177,7.07072410726028
"317",1,240,"039_Wasserkocher_modernerWasserkocher","match",39,4,1,1234,7.11801620446533
"318",1,300,"089_Eimer_Muelleimer","mismatch",89,4,1,755,6.62671774924902
"319",1,180,"072_Sessel_Ledersessel","mismatch",72,4,1,728,6.59030104819669
"320",1,180,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,4,1,891,6.79234442747081
"321",1,180,"035_Kaffeemaschine_Espressomaschine","match",35,4,1,1834,7.51425465281641
"322",1,0,"042_Lampe_Stehlampe","match",42,4,1,675,6.51471269087253
"323",1,240,"065_Sofa_Zweiersofa","mismatch",65,4,1,599,6.39526159811545
"324",1,0,"090_Flugzeug_Zweiteweltkriegsflieger","mismatch",90,4,1,543,6.29710931993394
"325",1,180,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,4,1,1530,7.33302301438648
"326",1,0,"077_Tisch_Rundtisch","match",77,4,1,690,6.5366915975913
"327",1,120,"006_Bett_Einzelbett","mismatch",6,4,1,1111,7.01301578963963
"328",1,120,"017_Computer_PC","mismatch",17,4,1,606,6.40687998606931
"329",1,300,"040_Lampe_Deckenlampe","match",40,4,1,1162,7.05789793741186
"330",1,300,"068_Stuhl_Holzstuhl","mismatch",68,4,1,861,6.75809450442773
"332",1,60,"021_Gitarre_Akustikgitarre","mismatch",21,4,1,836,6.7286286130847
"333",1,0,"060_Sitzbank_Schaukelbank","mismatch",60,4,1,1160,7.05617528410041
"334",1,240,"027_Kamera_Spiegelreflexkamera","mismatch",27,4,1,544,6.29894924685594
"335",1,120,"053_Regal_Wandregal","mismatch",53,4,1,569,6.34388043412633
"336",1,180,"073_Telefon_Schnurtelefon","mismatch",73,4,1,560,6.32793678372919
"337",1,300,"087_Auto_Panzer","mismatch",87,4,1,508,6.23048144757848
"338",1,120,"094_Boot_Segelschiff","match",94,4,1,697,6.54678541076052
"339",1,0,"002_Baum_Palme","mismatch",2,4,1,543,6.29710931993394
"340",1,0,"011_Blume_Kaktus","match",11,4,1,930,6.8351845861473
"341",1,300,"100_Besteck_Loeffel","match",100,4,1,607,6.4085287910595
