"","sub","rotation","imagename","match","imgID","movable","block","correct","response_time","inverse_RT","log_RT"
"4553",20,180,"011_Blume_Kaktus","mismatch",11,0,4,1,502,0.00199203187250996,6.21860011969173
"4554",20,300,"079_Tisch_Schreibtisch","match",79,0,4,1,731,0.00136798905608755,6.59441345974978
"4555",20,0,"047_Nuss_Erdnuss","match",47,1,4,1,304,0.00328947368421053,5.71702770140622
"4556",20,300,"024_Glas_Trinkglas","match",24,1,4,1,547,0.00182815356489945,6.30444880242198
"4557",20,60,"048_Nuss_Mandel","mismatch",48,1,4,1,493,0.00202839756592292,6.20050917404269
"4558",20,0,"076_Tisch_Holztisch","match",76,0,4,1,585,0.00170940170940171,6.37161184723186
"4559",20,120,"072_Sessel_Ledersessel","match",72,0,4,1,530,0.00188679245283019,6.27287700654617
"4560",20,240,"075_Tisch_Etagentisch","match",75,0,4,1,742,0.00134770889487871,6.60934924316738
"4562",20,180,"006_Bett_Einzelbett","match",6,0,4,1,471,0.00212314225053079,6.15485809401642
"4563",20,180,"077_Tisch_Rundtisch","match",77,0,4,1,446,0.00224215246636771,6.10031895202006
"4564",20,0,"100_Besteck_Loeffel","mismatch",100,1,4,1,570,0.00175438596491228,6.3456363608286
"4565",20,120,"031_Klavier_Pianino","mismatch",31,0,4,1,433,0.0023094688221709,6.07073772800249
"4566",20,0,"055_Schrank_Kleiderschrank","match",55,0,4,1,507,0.0019723865877712,6.22851100359118
"4567",20,240,"045_Lampe_Wandlampe","mismatch",45,0,4,1,461,0.00216919739696312,6.13339804299665
"4568",20,300,"064_Sofa_Ledersofa","mismatch",64,0,4,1,393,0.00254452926208651,5.97380961186926
"4569",20,240,"004_Baum_Weide","mismatch",4,0,4,1,486,0.00205761316872428,6.18620862390049
"4571",20,60,"080_Uhr_Armbanduhr","mismatch",80,1,4,1,484,0.00206611570247934,6.18208490671663
"4572",20,120,"014_Blume_Sonnenblume","mismatch",14,1,4,1,458,0.00218340611353712,6.12686918411419
"4574",20,240,"066_Stuhl_Barstuhl","mismatch",66,1,4,1,538,0.00185873605947955,6.28785856016178
"4575",20,60,"074_Telefon_Smartphone","mismatch",74,1,4,1,700,0.00142857142857143,6.5510803350434
"4576",20,120,"001_Baum_Bonsai","mismatch",1,0,4,1,657,0.0015220700152207,6.48768401848461
"4577",20,120,"082_Uhr_Wanduhr","match",82,0,4,1,849,0.00117785630153121,6.74405918631135
"4578",20,60,"012_Blume_Orchidee","match",12,1,4,1,399,0.0025062656641604,5.98896141688986
"4579",20,60,"051_Regal_Holzregal","mismatch",51,0,4,1,473,0.00211416490486258,6.15909538849193
"4580",20,180,"046_Besteck_Messer","mismatch",46,1,4,1,462,0.00216450216450216,6.13556489108174
"4581",20,0,"065_Sofa_Zweiersofa","match",65,0,4,1,409,0.00244498777506112,6.0137151560428
"4583",20,120,"034_Korb_Waeschekorb","match",34,1,4,1,453,0.0022075055187638,6.11589212548303
"4584",20,240,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,0,4,1,586,0.00170648464163823,6.37331978957701
"4585",20,240,"008_Bildschirm_Desktop","mismatch",8,0,4,1,702,0.00142450142450142,6.55393340402581
"4586",20,240,"063_Sofa_Ecksofa","mismatch",63,0,4,1,589,0.00169779286926995,6.37842618365159
"4587",20,120,"060_Sitzbank_Schaukelbank","mismatch",60,0,4,1,757,0.00132100396301189,6.62936325343745
"4588",20,240,"062_Sofa_Dreiersofa","match",62,0,4,1,450,0.00222222222222222,6.10924758276437
"4589",20,0,"088_Flugzeug_Kampfflieger","mismatch",88,0,4,1,530,0.00188679245283019,6.27287700654617
"4590",20,60,"050_Nuss_Wallnuss","match",50,1,4,1,709,0.00141043723554302,6.56385552653213
"4591",20,300,"013_Blume_Rosen","match",13,1,4,1,393,0.00254452926208651,5.97380961186926
"4592",20,120,"091_Flugzeug_Segelflieger","match",91,0,4,1,421,0.00237529691211401,6.04263283368238
"4593",20,240,"022_Gitarre_Elektrogitarre","mismatch",22,1,4,1,590,0.00169491525423729,6.38012253689976
"4594",20,120,"069_Stuhl_Rollstuhl","match",69,1,4,1,615,0.0016260162601626,6.42162226780652
"4595",20,0,"043_Lampe_Strassenlaterne","match",43,0,4,1,577,0.00173310225303293,6.3578422665081
"4596",20,120,"044_Lampe_Tischleuchte","match",44,1,4,1,477,0.00209643605870021,6.16751649088834
"4597",20,240,"089_Eimer_Muelleimer","match",89,1,4,1,847,0.00118063754427391,6.74170069465205
"4598",20,180,"087_Auto_Panzer","match",87,0,4,1,532,0.0018796992481203,6.27664348934164
"4599",20,240,"098_Auto_Van","match",98,0,4,1,416,0.00240384615384615,6.03068526026126
"4601",20,0,"099_Eimer_Wassereimer","mismatch",99,1,5,1,926,0.00107991360691145,6.83087423464618
"4602",20,0,"023_Glas_Sektglas","mismatch",23,1,5,1,490,0.00204081632653061,6.19440539110467
"4603",20,120,"068_Stuhl_Holzstuhl","mismatch",68,1,5,1,439,0.00227790432801822,6.08449941307517
"4604",20,0,"009_Bildschirm_Flachbildfernseher","match",9,0,5,1,426,0.00234741784037559,6.05443934626937
"4605",20,300,"063_Sofa_Ecksofa","match",63,0,5,1,369,0.002710027100271,5.91079664404053
"4606",20,240,"050_Nuss_Wallnuss","mismatch",50,1,5,1,563,0.00177619893428064,6.33327962813969
"4607",20,300,"004_Baum_Weide","match",4,0,5,1,399,0.0025062656641604,5.98896141688986
"4608",20,0,"069_Stuhl_Rollstuhl","mismatch",69,1,5,1,690,0.00144927536231884,6.5366915975913
"4609",20,60,"041_Lampe_Schreibtischlampe","mismatch",41,1,5,1,497,0.00201207243460765,6.20859002609663
"4610",20,180,"040_Lampe_Deckenlampe","mismatch",40,0,5,1,398,0.00251256281407035,5.98645200528444
"4611",20,300,"016_Computer_Laptop","mismatch",16,1,5,1,564,0.00177304964539007,6.33505425149806
"4612",20,60,"039_Wasserkocher_modernerWasserkocher","mismatch",39,1,5,1,474,0.00210970464135021,6.16120732169508
"4613",20,120,"080_Uhr_Armbanduhr","mismatch",80,1,5,1,432,0.00231481481481481,6.06842558824411
